id,belongs_to_collection,budget,genres,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title,Keywords,cast,crew,revenue
11,School Ties,0,"[{""name"": ""Drama""}]",,tt0105327,en,School Ties,A student faces prejudice at an elite school.,7.438381,/poster11.jpg,"[{""name"": ""Paramount Pictures""}]","[{""iso_3166_1"": ""US""}]",9/18/92,106.0,"[{""name"": ""English""}]",Released,Just because you’re accepted doesn’t mean you belong.,School Ties,school|sport,"[{""name"": ""Brendan Fraser""}]","[{""name"": ""Robert Mandel"", ""job"": ""Director""}]",14715067
12,Chasers,0,"[{""name"": ""Comedy""}, {""name"": ""Romance""}]",,tt0109403,en,Chasers,Two military men escort a prisoner.,9.85327,/poster12.jpg,"[{""name"": ""Warner Bros.""}]","[{""iso_3166_1"": ""US""}]",4/22/94,102.0,"[{""name"": ""English""}]",Released,It was supposed to be a routine prisoner transfer.,Chasers,prison|military,"[{""name"": ""Tom Berenger""}]","[{""name"": ""Dennis Hopper"", ""job"": ""Director""}]",1596687
13,We Are the Best!,0,"[{""name"": ""Drama""}, {""name"": ""Music""}]",,tt2364975,sv,We Are the Best!,Three girls form a punk band.,3.727996,/poster13.jpg,"[{""name"": ""Memfis Film""}]","[{""iso_3166_1"": ""SE""}]",3/28/13,102.0,"[{""name"": ""Swedish""}]",Released,,We Are the Best!,sweden|punk,"[{""name"": ""Mira Barkhammar""}]","[{""name"": ""Lukas Moodysson"", ""job"": ""Director""}]",180590
14,The Long Kiss Goodnight,65000000,"[{""name"": ""Crime""}, {""name"": ""Action""}]",,tt0116908,en,The Long Kiss Goodnight,A woman discovers her forgotten past.,14.482345,/poster14.jpg,"[{""name"": ""New Line Cinema""}]","[{""iso_3166_1"": ""US""}]",10/11/96,120.0,"[{""name"": ""English""}]",Released,What's forgotten is not always gone.,The Long Kiss Goodnight,assassination|memory,"[{""name"": ""Geena Davis""}]","[{""name"": ""Renny Harlin"", ""job"": ""Director""}]",89456761
15,Along Came Polly,42000000,"[{""name"": ""Comedy""}, {""name"": ""Romance""}]",http://www.alongcamepolly.com/,tt0343135,en,Along Came Polly,A cautious man finds unexpected love.,15.725542,/poster15.jpg,"[{""name"": ""Jersey Films""}]","[{""iso_3166_1"": ""US""}]",1/16/04,90.0,"[{""name"": ""English""}]",Released,"For the most cautious man on Earth, life is about to get interesting.",Along Came Polly,beach|love,"[{""name"": ""Ben Stiller""}]","[{""name"": ""John Hamburg"", ""job"": ""Director""}]",171963386
16,Abduction,35000000,"[{""name"": ""Thriller""}, {""name"": ""Action""}]",http://www.abductionthefilm.com/,tt1600195,en,Abduction,A young man searches for the truth about his identity.,10.512109,/poster16.jpg,"[{""name"": ""Lions Gate Films""}]","[{""iso_3166_1"": ""US""}]",9/22/11,106.0,"[{""name"": ""English""}]",Released,They stole his life. He's taking it back.,Abduction,CIA|conspiracy,"[{""name"": ""Taylor Lautner""}]","[{""name"": ""John Singleton"", ""job"": ""Director""}]",82087155
17,Interstellar,165000000,"[{""name"": ""Adventure""}, {""name"": ""Drama""}, {""name"": ""Sci-Fi""}]",,tt0816692,en,Interstellar,Explorers travel through a wormhole in space.,75.0,/poster17.jpg,"[{""name"": ""Paramount Pictures""}]","[{""iso_3166_1"": ""US""}]",11/7/14,169.0,"[{""name"": ""English""}]",Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,space|wormhole,"[{""name"": ""Matthew McConaughey""}]","[{""name"": ""Christopher Nolan"", ""job"": ""Director""}]",701729206
18,Dangal,70000000,"[{""name"": ""Drama""}, {""name"": ""Sport""}]",,tt5074352,hi,Dangal,A father trains his daughters to become wrestlers.,35.4,/poster18.jpg,"[{""name"": ""Aamir Khan Productions""}]","[{""iso_3166_1"": ""IN""}]",12/23/16,161.0,"[{""name"": ""Hindi""}]",Released,Gold is pure. So is Dangal.,Dangal,wrestling|family,"[{""name"": ""Aamir Khan""}]","[{""name"": ""Nitesh Tiwari"", ""job"": ""Director""}]",310000000
19,Avengers: Endgame,356000000,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Sci-Fi""}]",,tt4154796,en,Avengers: Endgame,Heroes attempt to reverse a devastating loss.,88.2,/poster19.jpg,"[{""name"": ""Marvel Studios""}]","[{""iso_3166_1"": ""US""}]",4/26/19,181.0,"[{""name"": ""English""}]",Released,Avenge the fallen.,Avengers: Endgame,superhero|marvel,"[{""name"": ""Robert Downey Jr.""}]","[{""name"": ""Anthony Russo"", ""job"": ""Director""}]",2797501328
20,Titanic,200000000,"[{""name"": ""Drama""}, {""name"": ""Romance""}]",,tt0120338,en,Titanic,A romance unfolds aboard a doomed ship.,78.5,/poster20.jpg,"[{""name"": ""20th Century Fox""}]","[{""iso_3166_1"": ""US""}]",12/19/97,194.0,"[{""name"": ""English""}]",Released,Nothing on Earth could come between them.,Titanic,ship|romance,"[{""name"": ""Leonardo DiCaprio""}]","[{""name"": ""James Cameron"", ""job"": ""Director""}]",2264743305
21,Spirited Away,19000000,"[{""name"": ""Animation""}, {""name"": ""Fantasy""}]",https://example.com/spirited,tt0245429,ja,Spirited Away,A girl enters a mysterious spirit world.,72.1,/poster21.jpg,"[{""name"": ""Studio Ghibli""}]","[{""iso_3166_1"": ""JP""}]",7/20/01,125.0,"[{""name"": ""Japanese""}]",Released,The tunnel led Chihiro to a mysterious town.,Spirited Away,spirit|magic,"[{""name"": ""Rumi Hiiragi""}]","[{""name"": ""Hayao Miyazaki"", ""job"": ""Director""}]",395800000
22,The Godfather,6000000,"[{""name"": ""Crime""}, {""name"": ""Drama""}]",,tt0068646,en,The Godfather,The aging patriarch transfers control of his empire.,95.3,/poster22.jpg,"[{""name"": ""Paramount Pictures""}]","[{""iso_3166_1"": ""US""}]",3/24/72,175.0,"[{""name"": ""English""}]",Released,An offer you can't refuse.,The Godfather,mafia|family,"[{""name"": ""Marlon Brando""}]","[{""name"": ""Francis Ford Coppola"", ""job"": ""Director""}]",250000000
23,3 Idiots Returns,80000000,"[{""name"": ""Comedy""}, {""name"": ""Drama""}]",,tt9000001,hi,3 Idiots Returns,Friends reunite years after college.,18.2,/poster23.jpg,"[{""name"": ""Demo Studios""}]","[{""iso_3166_1"": ""IN""}]",8/15/20,0.0,"[{""name"": ""Hindi""}]",Rumored,,3 Idiots Returns,college,"[{""name"": ""Aamir Khan""}]","[{""name"": ""Demo Director"", ""job"": ""Director""}]",0
24,Mystery Movie,25000000,,,tt9000002,en,Mystery Movie,A mystery with incomplete metadata.,12.5,,,"[{""iso_3166_1"": ""US""}]",10/10/18,,"[{""name"": ""English""}]",Released,,Mystery Movie,mystery,"[{""name"": ""Unknown""}]","[{""name"": ""Unknown"", ""job"": ""Director""}]",45000000
25,Kantara,16000000,"[{""name"": ""Action""}, {""name"": ""Drama""}]",https://example.com/kantara,tt15327088,kn,Kantara,A village conflict involving tradition and nature.,42.7,/poster25.jpg,"[{""name"": ""Hombale Films""}]","[{""iso_3166_1"": ""IN""}]",9/30/22,148.0,"[{""name"": ""Kannada""}]",Released,"When tradition calls, destiny answers.",Kantara,village|tradition,"[{""name"": ""Rishab Shetty""}]","[{""name"": ""Rishab Shetty"", ""job"": ""Director""}]",400000000
26,RRR,550000000,"[{""name"": ""Action""}, {""name"": ""Drama""}]",,tt8178634,te,RRR,Two revolutionaries form an unlikely friendship.,60.3,/poster26.jpg,"[{""name"": ""DVV Entertainment""}]","[{""iso_3166_1"": ""IN""}]",3/25/22,187.0,"[{""name"": ""Telugu""}]",Released,Rise. Roar. Revolt.,RRR,friendship|revolution,"[{""name"": ""N. T. Rama Rao Jr.""}]","[{""name"": ""S. S. Rajamouli"", ""job"": ""Director""}]",1200000000
27,Bahubali 2: The Conclusion,250000000,"[{""name"": ""Action""}, {""name"": ""Drama""}]",,tt4849438,te,Baahubali 2: The Conclusion,A kingdom seeks answers and revenge.,52.9,/poster27.jpg,"[{""name"": ""Arka Media Works""}]","[{""iso_3166_1"": ""IN""}]",4/28/17,168.0,"[{""name"": ""Telugu""}]",Released,Why did Kattappa kill Baahubali?,Baahubali 2: The Conclusion,kingdom|war,"[{""name"": ""Prabhas""}]","[{""name"": ""S. S. Rajamouli"", ""job"": ""Director""}]",1810000000
28,Joker,55000000,"[{""name"": ""Crime""}, {""name"": ""Drama""}]",,tt7286456,en,Joker,A failed comedian descends into chaos.,70.9,/poster28.jpg,"[{""name"": ""Warner Bros.""}]","[{""iso_3166_1"": ""US""}]",10/4/19,122.0,"[{""name"": ""English""}]",Released,Put on a happy face.,Joker,joker|crime,"[{""name"": ""Joaquin Phoenix""}]","[{""name"": ""Todd Phillips"", ""job"": ""Director""}]",1074251311
29,La La Land,30000000,"[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Music""}]",,tt3783958,en,La La Land,A musician and actress pursue dreams in Los Angeles.,35.8,/poster29.jpg,"[{""name"": ""Lionsgate""}]","[{""iso_3166_1"": ""US""}]",12/25/16,128.0,"[{""name"": ""English""}]",Released,Here's to the fools who dream.,La La Land,music|los angeles,"[{""name"": ""Ryan Gosling""}]","[{""name"": ""Damien Chazelle"", ""job"": ""Director""}]",472000000
30,Dilwale Dulhania Le Jayenge,40000000,"[{""name"": ""Drama""}, {""name"": ""Romance""}]",,tt0112870,hi,Dilwale Dulhania Le Jayenge,A young couple challenges family expectations.,20.6,/poster30.jpg,"[{""name"": ""Yash Raj Films""}]","[{""iso_3166_1"": ""IN""}]",10/20/95,181.0,"[{""name"": ""Hindi""}]",Released,Come... Fall in love.,Dilwale Dulhania Le Jayenge,romance|family,"[{""name"": ""Shah Rukh Khan""}]","[{""name"": ""Aditya Chopra"", ""job"": ""Director""}]",120000000
